,OAR,OAR_PDDCA,Patient,VolDice,95HD,SurfDice
0,BSTEM,BrainStem,0522c0001,0.6155930757522583,5.385164807134504,2.96220894899193
1,CHIASM,Chiasm,0522c0001,0.2537878751754761,5.744562646538029,1.9988698578671729
2,MAND,Mandible,0522c0001,0.7739463448524475,119.78292851789462,10.392024878199939
3,LOPTIC,OpticNerve_L,0522c0001,0.473794549703598,1.9732050807568817,0.9015358663794272
4,ROPTIC,OpticNerve_R,0522c0001,0.45627376437187195,2.23606797749979,1.027851736206112
5,LPAR,Parotid_L,0522c0001,0.7937116622924805,2.449489742783178,1.021962503489089
6,RPAR,Parotid_R,0522c0001,0.7647878527641296,3.0,1.2355353944833223
7,BSTEM,BrainStem,0522c0001,0.6155930757522583,5.385164807134504,2.96220894899193
8,CHIASM,Chiasm,0522c0001,0.2537878751754761,5.744562646538029,1.9988698578671729
9,MAND,Mandible,0522c0001,0.7889760732650757,4.0,3.5539737783452505
10,LOPTIC,OpticNerve_L,0522c0001,0.473794549703598,1.9732050807568817,0.9015358663794272
11,ROPTIC,OpticNerve_R,0522c0001,0.45627376437187195,2.23606797749979,1.027851736206112
12,LPAR,Parotid_L,0522c0001,0.7937116622924805,2.449489742783178,1.021962503489089
13,RPAR,Parotid_R,0522c0001,0.7647878527641296,3.0,1.2355353944833223
14,BSTEM,BrainStem,0522c0001,0.6155930757522583,5.385164807134504,2.96220894899193
15,CHIASM,Chiasm,0522c0001,0.2537878751754761,5.744562646538029,1.9988698578671729
16,MAND,Mandible,0522c0001,0.7926216721534729,3.1622776601683795,1.0526909275605423
17,LOPTIC,OpticNerve_L,0522c0001,0.473794549703598,1.9732050807568817,0.9015358663794272
18,ROPTIC,OpticNerve_R,0522c0001,0.45627376437187195,2.23606797749979,1.027851736206112
19,LPAR,Parotid_L,0522c0001,0.7937116622924805,2.449489742783178,1.021962503489089
20,RPAR,Parotid_R,0522c0001,0.7647878527641296,3.0,1.2355353944833223
21,BSTEM,BrainStem,0522c0001,0.6155930757522583,5.385164807134504,2.96220894899193
22,CHIASM,Chiasm,0522c0001,0.2537878751754761,5.744562646538029,1.9988698578671729
23,MAND,Mandible,0522c0001,0.7926216721534729,3.1622776601683795,1.0526909275605423
24,LOPTIC,OpticNerve_L,0522c0001,0.473794549703598,1.9732050807568817,0.9015358663794272
25,ROPTIC,OpticNerve_R,0522c0001,0.45627376437187195,2.23606797749979,1.027851736206112
26,LPAR,Parotid_L,0522c0001,0.7937116622924805,2.449489742783178,1.021962503489089
27,RPAR,Parotid_R,0522c0001,0.7647878527641296,3.0,1.2355353944833223
28,BSTEM,BrainStem,0522c0001,0.6155930757522583,5.385164807134504,2.96220894899193
29,CHIASM,Chiasm,0522c0001,0.2537878751754761,5.744562646538029,1.9988698578671729
30,MAND,Mandible,0522c0001,0.7926216721534729,3.1622776601683795,1.0526909275605423
31,LOPTIC,OpticNerve_L,0522c0001,0.473794549703598,1.9732050807568817,0.9015358663794272
32,ROPTIC,OpticNerve_R,0522c0001,0.45627376437187195,2.23606797749979,1.027851736206112
33,LPAR,Parotid_L,0522c0001,0.7937116622924805,2.449489742783178,1.021962503489089
34,RPAR,Parotid_R,0522c0001,0.7647878527641296,3.0,1.2355353944833223
35,BSTEM,BrainStem,0522c0002,0.7243447303771973,4.58257569495584,2.215516021105487
36,CHIASM,Chiasm,0522c0002,0.3723404109477997,5.084166586553863,1.7477507530106127
37,MAND,Mandible,0522c0002,0.835200846195221,1.4142135623730951,0.772745277232201
38,LOPTIC,OpticNerve_L,0522c0002,0.5808147192001343,1.970710678118648,0.7969054210094957
39,ROPTIC,OpticNerve_R,0522c0002,0.5293276309967041,2.23606797749979,0.8658494655503162
40,LPAR,Parotid_L,0522c0002,0.8600305318832397,2.449489742783178,0.8164836137148035
41,RPAR,Parotid_R,0522c0002,0.8192157745361328,3.0,1.1736026630981338
42,BSTEM,BrainStem,0522c0003,0.7575164437294006,3.605551275463989,1.7662594317430764
43,CHIASM,Chiasm,0522c0003,0.3446761667728424,4.358898943540674,1.6504664278642909
44,MAND,Mandible,0522c0003,0.8199453949928284,1.4142135623730951,0.8347221666717666
45,LOPTIC,OpticNerve_L,0522c0003,0.5787106156349182,1.4142135623730951,0.7986838607089143
46,ROPTIC,OpticNerve_R,0522c0003,0.5507246255874634,1.7320508075688772,0.8198487477131826
47,LPAR,Parotid_L,0522c0003,0.852672278881073,2.23606797749979,0.7912015608874934
48,RPAR,Parotid_R,0522c0003,0.8587858080863953,2.23606797749979,0.7623660201668733
49,BSTEM,BrainStem,0522c0009,0.7446056008338928,3.605551275463989,1.8207028399055332
50,CHIASM,Chiasm,0522c0009,0.38055557012557983,4.123105625617661,1.5535593614216223
51,MAND,Mandible,0522c0009,0.8476797342300415,1.7320508075688772,1.1616381348521807
52,LOPTIC,OpticNerve_L,0522c0009,0.5423076748847961,1.7320508075688772,0.7726575010233023
53,ROPTIC,OpticNerve_R,0522c0009,0.5429141521453857,1.4142135623730951,0.7376846971787206
54,LPAR,Parotid_L,0522c0009,0.7810891270637512,6.164414002968976,1.6267041133686713
55,RPAR,Parotid_R,0522c0009,0.8589769601821899,2.0,0.8561033018101766
56,BSTEM,BrainStem,0522c0013,0.7469281554222107,3.3166247903554,1.6938802242967645
57,CHIASM,Chiasm,0522c0013,0.33576643466949463,6.324555320336759,1.6814469806080985
58,MAND,Mandible,0522c0013,0.8241036534309387,2.0,0.872283201789582
59,LOPTIC,OpticNerve_L,0522c0013,0.5750707983970642,1.4142135623730951,0.81153951619829
60,ROPTIC,OpticNerve_R,0522c0013,0.5714285969734192,1.6049159094905536,0.8034561774037721
61,LPAR,Parotid_L,0522c0013,0.8114835619926453,4.0,1.3000225253319222
62,RPAR,Parotid_R,0522c0013,0.7827095985412598,5.0,1.601980110230832
63,BSTEM,BrainStem,0522c0014,0.7135426998138428,4.69041575982343,2.4272939482239417
64,CHIASM,Chiasm,0522c0014,0.34153005480766296,4.242640687119285,1.4584582275031426
65,MAND,Mandible,0522c0014,0.8461840748786926,1.4142135623730951,0.8644792338746211
66,LOPTIC,OpticNerve_L,0522c0014,0.5698447823524475,2.8073214099741,0.789527641170403
67,ROPTIC,OpticNerve_R,0522c0014,0.5079365372657776,2.23606797749979,0.90007856278438
68,LPAR,Parotid_L,0522c0014,0.6861966848373413,5.385164807134504,2.21335867926427
69,RPAR,Parotid_R,0522c0014,0.8148329854011536,3.0,1.2194028928764933
70,BSTEM,BrainStem,0522c0017,0.767581045627594,3.7416573867739413,1.8055819261149324
71,CHIASM,Chiasm,0522c0017,0.22808510065078735,6.4031242374328485,2.559959774945496
72,MAND,Mandible,0522c0017,0.8173401951789856,2.0,0.9252887407765535
73,LOPTIC,OpticNerve_L,0522c0017,0.48275861144065857,5.0,0.9717815614204969
74,ROPTIC,OpticNerve_R,0522c0017,0.580152690410614,4.916515138991161,0.7995368692265139
75,LPAR,Parotid_L,0522c0017,0.8070926666259766,6.082762530298219,0.9044032138995016
76,RPAR,Parotid_R,0522c0017,0.7951464653015137,2.23606797749979,0.970417528073328
77,BSTEM,BrainStem,0522c0057,0.8545863032341003,3.1622776601683795,0.9301438609590454
78,CHIASM,Chiasm,0522c0057,,,
79,MAND,Mandible,0522c0057,0.8227163553237915,1.5890240472305441,0.8827034340608375
80,LOPTIC,OpticNerve_L,0522c0057,,,
81,ROPTIC,OpticNerve_R,0522c0057,,,
82,LPAR,Parotid_L,0522c0057,0.7893388867378235,4.123105625617661,1.5595156687432787
83,RPAR,Parotid_R,0522c0057,0.861564576625824,4.58257569495584,0.814482362219335
84,BSTEM,BrainStem,0522c0070,0.7823969721794128,4.123105625617661,1.5322549863577666
85,CHIASM,Chiasm,0522c0070,0.2622601389884949,7.874007874011811,2.745294182932024
86,MAND,Mandible,0522c0070,0.8498204350471497,1.4142135623730951,0.7686905544645126
87,LOPTIC,OpticNerve_L,0522c0070,0.5825932621955872,2.23606797749979,0.7725212014095739
88,ROPTIC,OpticNerve_R,0522c0070,0.5570599436759949,2.7988091673838635,0.7494811595441865
89,LPAR,Parotid_L,0522c0070,0.843033492565155,3.3166247903554,1.01050424334982
90,RPAR,Parotid_R,0522c0070,0.8340887427330017,3.0,0.9944508382350784
91,BSTEM,BrainStem,0522c0077,0.7769601345062256,3.1622776601683795,1.561898353712461
92,CHIASM,Chiasm,0522c0077,0.39613527059555054,8.237013576088481,0.8068241303325813
93,MAND,Mandible,0522c0077,0.8159902095794678,2.449489742783178,0.9818167613209821
94,LOPTIC,OpticNerve_L,0522c0077,0.5224963426589966,5.907566994274183,0.8737289822463571
95,ROPTIC,OpticNerve_R,0522c0077,0.608169436454773,1.4142135623730951,0.7422041335161833
96,LPAR,Parotid_L,0522c0077,0.8733634948730469,7.777973693897143,0.6826233713651979
97,RPAR,Parotid_R,0522c0077,0.8635051250457764,4.0,0.8382177433024627
98,BSTEM,BrainStem,0522c0079,0.7342602610588074,4.242640687119285,1.9209173619790971
99,CHIASM,Chiasm,0522c0079,0.2830188572406769,8.261100875939427,2.436382286362395
100,MAND,Mandible,0522c0079,0.806784451007843,2.0,0.9768322940270866
101,LOPTIC,OpticNerve_L,0522c0079,0.5748344659805298,2.8284271247461903,0.8626692356071372
102,ROPTIC,OpticNerve_R,0522c0079,0.4637305736541748,2.0,1.0801417592099893
103,LPAR,Parotid_L,0522c0079,0.8613172769546509,3.0,0.8146689699994801
104,RPAR,Parotid_R,0522c0079,0.8533511161804199,2.8284271247461903,0.7543060549049103
105,BSTEM,BrainStem,0522c0081,0.8068969249725342,3.1622776601683795,1.5478459406543108
106,CHIASM,Chiasm,0522c0081,0.3251633942127228,6.4031242374328485,1.994228191612994
107,MAND,Mandible,0522c0081,0.8295520544052124,2.0,0.8823708436107576
108,LOPTIC,OpticNerve_L,0522c0081,0.4665178656578064,4.242640687119285,0.993324017037183
109,ROPTIC,OpticNerve_R,0522c0081,0.49163180589675903,4.979128784747787,0.9481812340128644
110,LPAR,Parotid_L,0522c0081,0.8326375484466553,3.0,1.3160652474973522
111,RPAR,Parotid_R,0522c0081,0.8415289521217346,3.1622776601683795,1.3017938181727218
112,BSTEM,BrainStem,0522c0125,0.8303340077400208,3.0,0.8136430758484655
113,CHIASM,Chiasm,0522c0125,,,
114,MAND,Mandible,0522c0125,0.7740656137466431,2.0,0.8444251717813948
115,LOPTIC,OpticNerve_L,0522c0125,,,
116,ROPTIC,OpticNerve_R,0522c0125,,,
117,LPAR,Parotid_L,0522c0125,0.8429883122444153,3.7416573867739413,0.7535276567526185
118,RPAR,Parotid_R,0522c0125,0.8307692408561707,3.0,0.8800205116051808
119,BSTEM,BrainStem,0522c0132,0.7281423211097717,5.0,1.9848808437889671
120,CHIASM,Chiasm,0522c0132,0.47096773982048035,7.531857301718061,0.7912896732361501
121,MAND,Mandible,0522c0132,0.8103693723678589,2.0,0.845264779175027
122,LOPTIC,OpticNerve_L,0522c0132,0.548701286315918,1.4142135623730951,0.8096980868042825
123,ROPTIC,OpticNerve_R,0522c0132,0.522765576839447,2.0,0.8585727599607242
124,LPAR,Parotid_L,0522c0132,0.8767328858375549,2.8284271247461903,0.7027804775805431
125,RPAR,Parotid_R,0522c0132,0.8246523141860962,5.916079783099616,0.8997148371015444
126,BSTEM,BrainStem,0522c0147,0.22848576307296753,18.601075237738275,3.2988855071682224
127,CHIASM,Chiasm,0522c0147,0.24683544039726257,16.522711641858304,1.4639523890308135
128,MAND,Mandible,0522c0147,0.7190107107162476,111.55716023635597,9.317260576850218
129,LOPTIC,OpticNerve_L,0522c0147,0.5107266306877136,7.0710678118654755,0.8010257132335639
130,ROPTIC,OpticNerve_R,0522c0147,0.6508803963661194,2.23606797749979,0.8515176155613434
131,LPAR,Parotid_L,0522c0147,0.6025484800338745,12.206555615733702,2.6681582967807467
132,RPAR,Parotid_R,0522c0147,0.7249206304550171,9.433981132056603,2.438629183145571
133,BSTEM,BrainStem,0522c0149,0.7008258104324341,4.123105625617661,2.1784949753244947
134,CHIASM,Chiasm,0522c0149,0.2880886495113373,6.516379626418065,0.6195403727793979
135,MAND,Mandible,0522c0149,0.804046630859375,2.0,0.9627024464510072
136,LOPTIC,OpticNerve_L,0522c0149,0.4895833432674408,31.043731372220133,0.6094896574945242
137,ROPTIC,OpticNerve_R,0522c0149,0.5053763389587402,2.0,0.8644774187752307
138,LPAR,Parotid_L,0522c0149,0.8692611455917358,4.242640687119285,0.7744552504161546
139,RPAR,Parotid_R,0522c0149,0.8878087997436523,2.8284271247461903,0.7978564403729329
140,BSTEM,BrainStem,0522c0159,0.7306769490242004,4.242640687119285,2.0183754654887394
141,CHIASM,Chiasm,0522c0159,0.3697725534439087,10.862780491200215,3.173825360146526
142,MAND,Mandible,0522c0159,0.8109725713729858,2.0,1.0312704221940245
143,LOPTIC,OpticNerve_L,0522c0159,0.5128205418586731,7.155088655302976,0.9511945771922704
144,ROPTIC,OpticNerve_R,0522c0159,0.5041841268539429,8.229029739806354,1.0268902443750785
145,LPAR,Parotid_L,0522c0159,0.859237015247345,4.123105625617661,1.1958779118946308
146,RPAR,Parotid_R,0522c0159,0.8437938094139099,5.0,1.468795273189832
147,BSTEM,BrainStem,0522c0161,0.7762041687965393,3.605551275463989,1.8437388682221039
148,CHIASM,Chiasm,0522c0161,0.257485032081604,8.034020267155531,2.4324365056126163
149,MAND,Mandible,0522c0161,0.7924656271934509,2.0,0.9634736975820113
150,LOPTIC,OpticNerve_L,0522c0161,0.5353319048881531,1.7320508075688772,0.8939607910122407
151,ROPTIC,OpticNerve_R,0522c0161,0.4846416413784027,2.0,0.9252190209393796
152,LPAR,Parotid_L,0522c0161,0.8573606014251709,6.164414002968976,0.8603940130065394
153,RPAR,Parotid_R,0522c0161,0.8846153616905212,6.082762530298219,0.7786426412331755
154,BSTEM,BrainStem,0522c0190,0.6942678689956665,5.0,2.366312745780906
155,CHIASM,Chiasm,0522c0190,0.46967339515686035,5.477225575051661,1.6220904430750058
156,MAND,Mandible,0522c0190,0.7468733787536621,3.0,1.133404687583495
157,LOPTIC,OpticNerve_L,0522c0190,0.4984227120876312,2.23606797749979,0.9330089536380421
158,ROPTIC,OpticNerve_R,0522c0190,0.47949525713920593,2.0,0.9700259231916494
159,LPAR,Parotid_L,0522c0190,0.8481247425079346,3.0,0.8324060600028391
160,RPAR,Parotid_R,0522c0190,0.6318244934082031,10.816653826391969,2.6720950631452856
161,BSTEM,BrainStem,0522c0195,0.6567589640617371,4.0,2.319512066206625
162,CHIASM,Chiasm,0522c0195,0.24190065264701843,6.049657518178931,1.6926519305451346
163,MAND,Mandible,0522c0195,0.7965077757835388,2.0,1.2199783808183844
164,LOPTIC,OpticNerve_L,0522c0195,0.5940860509872437,3.605551275463989,0.7706721621596185
165,ROPTIC,OpticNerve_R,0522c0195,0.48076921701431274,2.0,1.0494831239380626
166,LPAR,Parotid_L,0522c0195,0.8590235710144043,2.449489742783178,0.7448595545340198
167,RPAR,Parotid_R,0522c0195,0.8535898923873901,2.449489742783178,0.7236285889481884
168,BSTEM,BrainStem,0522c0226,0.7722882032394409,3.7416573867739413,1.8163409488935784
169,CHIASM,Chiasm,0522c0226,0.3390728533267975,7.08162190436708,2.215531522461223
170,MAND,Mandible,0522c0226,0.8299337029457092,2.0,0.9685591315371018
171,LOPTIC,OpticNerve_L,0522c0226,0.6185044646263123,3.605551275463989,0.7138576037322074
172,ROPTIC,OpticNerve_R,0522c0226,0.5912596583366394,2.3249218495867363,0.7440029543608688
173,LPAR,Parotid_L,0522c0226,0.8569422960281372,3.3166247903554,1.0716299816804489
174,RPAR,Parotid_R,0522c0226,0.8618236780166626,3.3166247903554,0.9567461910184397
175,BSTEM,BrainStem,0522c0248,0.7652301788330078,4.123105625617661,1.9902828449186318
176,CHIASM,Chiasm,0522c0248,0.28387096524238586,9.643650760992955,3.1247084504743445
177,MAND,Mandible,0522c0248,0.7937347888946533,3.0,1.1409723825947038
